Root Cause (Gejala),Impact (Akibat),Tipe Masalah,Confidence (%),Lift Ratio,Support (%),Level Prioritas
"user, admin","LINK_FAILURE, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
account,"LINK_FAILURE, user, admin",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"user, system","LINK_FAILURE, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"account, system","LINK_FAILURE, user",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
user,"LINK_FAILURE, account, system",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
user,"LINK_FAILURE, admin, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
logged,"LINK_FAILURE, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"admin, account","logged, LINK_FAILURE",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
account,"logged, LINK_FAILURE",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
account,"logged, LINK_FAILURE, admin",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"logged, admin","LINK_FAILURE, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
logged,"LINK_FAILURE, admin, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
user,"logged, LINK_FAILURE",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
logged,"LINK_FAILURE, user",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"user, account","LINK_FAILURE, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"logged, user","LINK_FAILURE, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"logged, user","LINK_FAILURE, admin",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"logged, account","LINK_FAILURE, admin",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
logged,"LINK_FAILURE, admin, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"logged, system","LINK_FAILURE, admin",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"logged, admin","LINK_FAILURE, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
logged,"LINK_FAILURE, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
logged,"LINK_FAILURE, admin",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"logged, account","LINK_FAILURE, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
user,"LINK_FAILURE, admin, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"user, account","LINK_FAILURE, admin",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"account, system","LINK_FAILURE, admin",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"user, system","LINK_FAILURE, admin",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
account,"LINK_FAILURE, admin",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"admin, account","LINK_FAILURE, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
account,"LINK_FAILURE, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
account,"LINK_FAILURE, admin, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
user,"LINK_FAILURE, admin",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
user,"LINK_FAILURE, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
"user, admin","LINK_FAILURE, system",LINK_FAILURE,0.4,23.30909090909091,0.0156006240249609,CRITICAL (High Correlation)
admin,"LINK_FAILURE, system",LINK_FAILURE,0.3548387096774194,20.67741935483871,0.0171606864274571,CRITICAL (High Correlation)
system,"LINK_FAILURE, admin",LINK_FAILURE,0.3548387096774194,20.67741935483871,0.0171606864274571,CRITICAL (High Correlation)
system,"logged, LINK_FAILURE, account",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
"admin, system","logged, LINK_FAILURE",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
admin,"logged, LINK_FAILURE, system",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
system,"logged, LINK_FAILURE, admin",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
admin,"logged, LINK_FAILURE, account",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
admin,"logged, LINK_FAILURE",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
system,"logged, LINK_FAILURE, user",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
system,"admin, UPSTREAM_FAILURE",UPSTREAM_FAILURE,0.3010752688172042,20.677419354838708,0.0145605824232969,CRITICAL (High Correlation)
admin,"UPSTREAM_FAILURE, system",UPSTREAM_FAILURE,0.3010752688172042,20.677419354838708,0.0145605824232969,CRITICAL (High Correlation)
admin,"BROADCAST_STORM, system",BROADCAST_STORM,0.2258064516129032,20.677419354838708,0.0109204368174727,CRITICAL (High Correlation)
system,"BROADCAST_STORM, admin",BROADCAST_STORM,0.2258064516129032,20.677419354838708,0.0109204368174727,CRITICAL (High Correlation)
system,"logged, LINK_FAILURE",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
admin,"logged, LINK_FAILURE, user",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
system,"LINK_FAILURE, user, account",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
admin,"LINK_FAILURE, user",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
admin,"LINK_FAILURE, account",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
system,"LINK_FAILURE, account",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
"admin, system","LINK_FAILURE, account",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
admin,"LINK_FAILURE, account, system",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
system,"LINK_FAILURE, admin, account",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
system,"LINK_FAILURE, user",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
admin,"LINK_FAILURE, user, account",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
"admin, system","LINK_FAILURE, user",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
admin,"LINK_FAILURE, user, system",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
system,"LINK_FAILURE, user, admin",LINK_FAILURE,0.3225806451612903,20.677419354838708,0.0156006240249609,CRITICAL (High Correlation)
"udp, ether5","LINK_FAILURE, 5678",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"ether5, 5678","255, LINK_FAILURE",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"255, ether5","LINK_FAILURE, 5678",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"ether5, 5678","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"0x0800, ether5","LINK_FAILURE, 5678",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"ether5, 5678","LINK_FAILURE, udp",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"255, ether5","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"udp, ether5","255, LINK_FAILURE",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"255, ether5","LINK_FAILURE, udp",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"udp, ether5","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"0x0800, ether5","LINK_FAILURE, udp",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
"0x0800, ether5","255, LINK_FAILURE",LINK_FAILURE,0.8670886075949368,11.266293191926104,0.0712428497139885,CRITICAL (High Correlation)
5678,"bridge, LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
255,"packet, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"bridge, 5678","LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"packet, LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"bridge, udp","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"packet, 255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
0x0800,"packet, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"packet, 5678","255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"packet, 255","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"packet, LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"packet, 5678","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"packet, 0x0800","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
udp,"bridge, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"ethertype, LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"bridge, 0x0800","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"bridge, 5678","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
0x0800,"bridge, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"bridge, LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"255, bridge","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"bridge, 5678","255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
255,"bridge, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"255, LINK_FAILURE, bridge",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"ethertype, udp","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"ethertype, 5678","LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
udp,"ethertype, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"packet, 5678","LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"ethertype, 0x0800","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"ethertype, 5678","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
udp,"packet, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"looped, 5678","LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"packet, udp","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"LINK_FAILURE, 0x0800, r2-dist",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"ethertype, LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"interface, 255","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"interface, 5678","255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
255,"interface, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"interface, 255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"udp, r2-dist","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"r2-dist, 5678","LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
udp,"LINK_FAILURE, r2-dist, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"udp, LINK_FAILURE, r2-dist",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"0x0800, r2-dist","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"r2-dist, 5678","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
0x0800,"LINK_FAILURE, r2-dist, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"255, r2-dist","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"255, LINK_FAILURE, looped",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"r2-dist, 5678","255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
255,"LINK_FAILURE, r2-dist, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"255, LINK_FAILURE, r2-dist",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
udp,"LINK_FAILURE, looped, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"LINK_FAILURE, looped, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"0x0800, looped","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"looped, 5678","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
0x0800,"LINK_FAILURE, looped, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"LINK_FAILURE, 0x0800, looped",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"255, looped","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"looped, 5678","255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
255,"LINK_FAILURE, looped, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
0x0800,"ethertype, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
udp,"LINK_FAILURE, 0x0800, ether5",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
"ethertype, 255","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
0x0800,"255, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
udp,"LINK_FAILURE, 0x0800, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"LINK_FAILURE, 0x0800, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"255, udp","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"255, 5678","LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"udp, 5678","255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
255,"LINK_FAILURE, udp, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
udp,"255, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"255, LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"255, 0x0800","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"255, 5678","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"0x0800, 5678","255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
255,"LINK_FAILURE, 0x0800, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"255, LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"udp, 5678","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
0x0800,"LINK_FAILURE, udp, ether5",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
0x0800,"interface, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
255,"LINK_FAILURE, udp, ether5",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
udp,"255, LINK_FAILURE, ether5",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
255,"LINK_FAILURE, 0x0800, ether5",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
0x0800,"255, LINK_FAILURE, ether5",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
5678,"LINK_FAILURE, udp, ether5",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
udp,"LINK_FAILURE, ether5, 5678",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
0x0800,"LINK_FAILURE, ether5, 5678",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
5678,"LINK_FAILURE, 0x0800, ether5",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
255,"LINK_FAILURE, ether5, 5678",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
5678,"255, LINK_FAILURE, ether5",LINK_FAILURE,0.7965116279069767,11.180232558139537,0.0712428497139885,CRITICAL (High Correlation)
0x0800,"LINK_FAILURE, udp, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"0x0800, 5678","LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"ethertype, 5678","255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
255,"mac, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
255,"ethertype, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"ethertype, 255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"mac, udp","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"mac, 5678","LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
udp,"mac, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"mac, LINK_FAILURE, udp",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"mac, 0x0800","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"mac, 5678","LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
0x0800,"mac, LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"mac, LINK_FAILURE, 0x0800",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"mac, 255","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"mac, 5678","255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
5678,"mac, 255, LINK_FAILURE",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"0x0800, udp","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
"warning, udp","LINK_FAILURE, 5678",LINK_FAILURE,0.8604651162790697,11.180232558139537,0.0769630785231409,CRITICAL (High Correlation)
